	A	B	C	D	E	F
	Ch 1 ME Pool	Ch 2 ME Pool	Title	Decision	Description
	1	4	Limited Time Offer	Choose one: Gain 8 max hp; Gain 4 Time Crystals	Act quick, this offer won't last all day! You don't have much time in this game but this decision will extend it juuust a little bit longer. But what will you choose?
	1	4	Too Tempting to Pass	Choose one, and get a random Curse: Gain a Trinket. Gain a Sticker of your run tier. Gain 150 Gold. Gain 10,000 Points.	Mwahahaha look at all these amazing options for you, so many tempting offers! But it comes with a price... a random curse added to one of your dice. The curse can't be that bad can it? May the odds be ever in your favor.
	1	5	Volcanic Spirits	Burn a Side. Lose 8 hp and lose 4 max hp	Mystical spirits dance in the volcano, inviting you to join them. The heat will hurt, but what doesn't kill you simply makes you stronger. Join their fire dance and become their twin flame.
	1	N/A	Chronically Tired	Add Exhaust to two Sides	Your eyes, glued to the screen, reveal your chronic tiredness. Wake, sleep, wake, sleep, repeat, repeat, repeat. A wave of exhaustion rolls over you as you realize how many times you've walked this Path. How is this possible?
	2	N/A	Health Points	Choose one: Lose 5,000 Points, gain 30 hp and 3 Time Crystals; Lose 2,000 Points, gain 10 hp and 2 Time Crystals; Lose 750 Points, gain 5 hp and 1 Time Crystal; Gain 100 Points.	HP means health points, but how many points points are you willing to trade this time around?
	2	4	Freezer Burn	Choose one: Get a Brrrito Blockerito; Burn a Side	Love it when a good pun comes in clutch
	2	5	Never Tell Me the Odds	10,000 Points can be yours, if you just risk a few. Choose one: 1 in 100 odds: Risk 100 Points. 1 in 10 odds: Risk 1,000 points. 1 in 3 odds: Risk 3,333 Points.	--- WIN 10,000 POINTS! --- JUST RISK A FEW --- “Ser, the possibility of successfully winning this game is EV neutral, playing is unnecessary.”
	3	N/A	Lava of Life	Select a Side to Burn. If it is: Curse - lose 1000 points (no change to current). Starter/Level 1 - gain 5 hp. Level 2 - gain 25 hp. Level 3 - gain 10 max hp and 35 additional hp (example for L3 - if I have 2 hp and 60 max, I would then have 32 hp and 70 max)	A shimmering stream of lava flows from a volcanic diety's altar. Sacrifice a side at her altar to receive more life... the stronger the side, the stronger the lava's effects will be.
	3	N/A	Echo Dagger	Replace any Attack Side with Echo Dagger Side. Attack 24. If fatal, Attack again	A time-crystal encrusted dagger glitches in and out of time. As you approach the stone, the Echo Dagger phases onto your dice. You are the chosen one, it's time to fulfill your destiny.
	3	4	Trade Offer	Pass, and lose 1,000 points; or Trade a randomly selected trinket that you have for a random different trinket - Game picks the trinket, both must be non-boss trinkets. Player doesn't see which trinket they'd get in return, but they know which one they're giving up	Trade Offer: You give a trinket, you get a trinket. Maybe the trinket won't be the one you want... but is it worth not losing 500 points?
	3	6	Double Down	Lose 10 hp. Start with a 2x point multiplier in your next battle.	You don't really need that health do you? What you really need is points. Health isn't worth anything at the end of the run... assuming you Don't Die. Will you double down?
	N/A	4	Infinidieferno	Randomly Burn 1 Side at a time until you choose to stop. Time Crystals can be used, but the deeper into the inferno you go, the more Time Crystals are needed to reverse the effects. -- Dice have a D4 minimum. Player can burn down until they have only D4's left if that's how they choose to play. See tab. Each burn raises TC rewind cost by 1	A pit of infinite flames beckons. It has burned you before and will burn you again, but still you approach - this time will be different. How many times will you throw your dice into the inferno, not knowing what you'll get back?
	N/A	5	Yin Yang	Spend 130 Gold to Duplicate or Swap a Side	In all things, balance. For your new dice, imbalance. Tip the balance of power permanently in your favor for just a bit of gold.
	N/A	5	Poisoned Veins	Get Poison Curse. Get Snake Skull trinket. -- if player already has Snake Skull, get Lizard Mask. If they already have Lizard Mask, get a random Common Trinket (player will know which one)	Let the poison flow through you. Sssssuccumb to the venom and your enemiessss will be crippled by your unrelenting toxinsssss.
	N/A	6	Health or Wealth	Player has 2 sliders, one for Points and one for Gold. Player can get up to 30 hp by spending Points or Gold. -- See tab. Essentially it's 10 gold or 200 points per hp	A devious decision awaits, which do you value more, your health or your wealth? You'll be kicking yourself if you needed just a bit more health to stay alive...
	N/A	6	Glitch in the Matrix	The text on the button should simply read:Increase 0nevalue by 1	A black cat dashes across the board. And then another. You start to see past the simulation as you realize this world is not what you thought it was. Change the fabric of reality and unlock your true potential. Luck is the illusion after all.
Chapter	Pool	Spaces it's Active
1	ME Pool 1	Spaces 1-9
1	ME Pool 2	Spaces 10-20
1	ME Pool 3	Spaces 21-39
2	ME Pool 4	Spaces 1-9
2	ME Pool 5	Spaces 10-20
2	ME Pool 6	Spaces 21-39
