	A	B	C
Common Trinkets
	Kronicles Mask	Can't be Frozen
	Pudgy Mask	Freeze all 3 at the start of battle
	Ket Mask	Can't be Bleeding
	Sunstone	Increase Damage by 1x for turn 1
	Snake Skull	Any time you deal Poison, deal 2 more
	Lizard Mask	At the start of battle, Poison all 4
	Amulet of Yendor	Gain 1 additional hp whenever you gain hp
	Noggles	At the end of every battle, Heal 5
	Turtle Shell	If there are 3 or more Baddies, your first Attack is inflicted on all Baddies
	Pet Hooligan Mask	Decrease Big Baddie Health by 20% at the start of battle
Rare Trinkets
	Adamantaeum	On turn 3 gain 1 Negate Damage and 2 Strength
	Tiny Titan	At the end of every turn Attack the rightmost Baddie 16
	Joker Card	Plus 1x Points multiplier on odd turns
	Bottled Fairy	If you die, instantly revive to 30% of your max Health, then lose this Trinket
Boss Trinkets
	Bird Mask	Gain 2 Strength at the start of each turn
	Idol of Immunity (survivor nod) - A colorful tiki head with a flame in its eyes, coming out the top of its head	The first time you would die each battle, retain 1 Health and survive
	Shiba Mask	Exhaust 1 Curse at the start of each turn
	Delete Button	If you win within 2 turns, Burn a Side during your loot rewards
	Greenade	All Poison impacts All Baddies
	Scoring	If you win within 3 turns, score 7,777 points
	Quadforce	At the end of your first 4 turns, re-roll a random die
Common Food
	Ice Rice	Negate the next 3 Debuffs
	Brrrito Blockerito	Stack Block for the first 6 turns
	Clutch Creme	If you take 7 or less damage, reduce it to 1
	Boom Beans	Damage any Baddie 40. Damage all others 10
	Heat Meat	Increase Damage by 1x for your first 2 turns
	Snackrifice	Lose 6 hp. If you finish the battle with 50% hp or less, gain 22 hp at the end of battle
	Toxipop	After any Baddie dies, transfer all Poison to the next Baddie
	Scorch Sauce	Exhaust up to 4 Sides before battle, max 2 per die
	Brotein Bar MAX	Gain 500 Points, Gain 8 hp, Attack all 20, Gain 2 Strength
	Rage Shake	When damaged, gain 3 Strength
	Pickle	At the end of each turn, gain 6 Block if you have 9 or less Block
Rare Food
	Godmode Guac	Plus 1x Damage. Plus 1x Damage at the start of turn 4
	Crit Chips	3x the value of any Attack
	Ascendacandy	Plus 2x Points Multiplier
	Giga Juice	Increase all values on all Dice by +2
