name,chapter,role,hp,points,special_effect,attack_pattern
Ice Pufflet,1,baddie,32,100,N/A,"T1: Freeze 2 | T2: 8 | T3-4: rand (repeat) | Rand: 40% '8 Freeze 2' / 30% '3 Strength' / 30% '12'"
Black Firant,1,baddie,9,100,N/A,"T1: 6 Bleed 1 | T2: 10 | T3: 14 Bleed 2 | T4: 8 Strength | T5+: repeat 1-4"
Blue Firant,1,baddie,24,100,N/A,"T1: 6 Block 6 | T2: Exhaust 1 Side randomly | T3-4: rand (repeat) | Rand: 55% '9 Block 9' / 15% 'Exhaust 1 Side' / 30% '6 Strength 3 Armor'"
Baby Scarebug,1,baddie,22,100,N/A,"T1: Poison 1 | T2: Poison 1 | T3: Poison 2 | T4: Poison 3 | T5: Poison 4 | T6+: repeat T5 (Poison 4)"
Frostmaul,1,baddie,36,200,Stacks Block forever,"T1: Block 20 | T2: Block 8 | T3: Attack = Block | T4-5: rand (repeat 1-4) | Rand: 70% '12 Freeze 3' / 30% '12 Block 12'"
Cobra Frier,1,baddie,36,200,N/A,"T1-2: rand | T3: 4 Strength | T4+: repeat 1-3 | Rand: 50% '8 Bleed 2' / 50% '14'"
Kevin,1,baddie,44,200,N/A,"T1: Rehealth all 14 | T2: 16 | T3: 12 Rehealth all 10 | T4: Block 30 | T5+: repeat 1-4"
Lil Zomboid,1,baddie,40,200,N/A,"T1: rand | T2: Poison 1 | T3: 8 | T4: rand | T5+: repeat 1-4 | Rand: 50% 'Freeze 2 Bleed 2' / 50% '8'"
Rock Lobster,1,baddie,38,200,Stacks Block forever,"T1: 16 | T2: Block 20 | T3: Block 15 | T4: 10 Block 10 | T5: 5 Strength 5 Armor | T6+: repeat 1-5"
Wendibrrr,1,big,96,500,Can't be Frozen,"T1: Add random Curse to random die | T2: Block 20 Freeze 7 | T3: 16 Block 6 | T4: 20 | T5: Add random Curse | T6: Strength 10 | T7+: repeat 3-6"
Firant Queen,1,big,68,500,N/A,"T1: 8 | T2: 12 | T3: Rehealth all 12 | T4: 8 | T5: 12 | T6: Strength 6 | T7+: repeat 4-6"
Gorgon-zola,1,big,80,500,When afflicted with Bleed or Freeze also afflict Hero,"T1: Poison 3 | T2: Block 24 | T3: 18 | T4: Poison 3 | T5: 6 Strength 6 Armor | T6: Block 24 | T7: Poison 3 | T8: 18 | T9+: repeat 5-8"
Ganondwarf,1,boss,160,1000,N/A,"T1: Freeze 4 Bleed 3 Poison 2 | T2: 14 | T3: 8 2 times | T4: 12 2 times | T5: Block 20 8 Strength | T6+: repeat 2-5"
