name,rarity,effect
Ice Rice,common,Negate the next 3 Debuffs
Brrrito Blockerito,common,Stack Block for the first 6 turns
Clutch Creme,common,"If you take 7 or less damage, reduce it to 1"
Boom Beans,common,Damage any Baddie 40. Damage all others 10
Heat Meat,common,Increase Damage by 1x for your first 2 turns
Snackrifice,common,Lose 6 hp. If you finish the battle with 50% hp or less, gain 22 hp at the end of battle
Toxipop,common,"After any Baddie dies, transfer all Poison to the next Baddie"
Scorch Sauce,common,"Exhaust up to 4 Sides before battle, max 2 per die"
Brotein Bar MAX,common,"Gain 500 Points, Gain 30 Gold, Gain 8 hp, Attack all 20, Gain 2 Strength"
Rage Shake,common,"When damaged, gain 3 Strength"
Pickle,common,"At the end of each turn, gain 6 Block if you have 9 or less Block"
Godmode Guac,rare,Plus 1x Damage. Plus 1x Damage at the start of turn 4
Crit Chips,rare,3x the value of any Attack
Ascendacandy,rare,Plus 2x Points Multiplier
Giga Juice,rare,Increase all values on all Dice by +2
